date,tournament,level,bestOf,surface,indoor,speed,round,winner_name,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,winner_seed,loser_entry,loser_seed
2005-11-14,Masters Cup,F,5,P,true,55,F,David Nalbandian,Argentina,ARG,12,26,2138,Roger Federer,Switzerland,SUI,1,-25,2510,6-7(4) 6-7(11) 6-2 6-1 7-6(3),,,
2005-11-14,Masters Cup,F,3,P,true,55,SF,Roger Federer,Switzerland,SUI,1,1,2509,Gaston Gaudio,Argentina,ARG,9,-2,2077,6-0 6-0,,,
2005-11-14,Masters Cup,F,3,P,true,55,RR,Roger Federer,Switzerland,SUI,1,2,2507,Guillermo Coria,Argentina,ARG,6,-2,2084,6-0 1-6 6-2,,,
2005-11-14,Masters Cup,F,3,P,true,55,RR,Roger Federer,Switzerland,SUI,1,3,2504,Ivan Ljubicic,Croatia,CRO,8,-2,2148,6-3 2-6 7-6(4),,,
2005-11-14,Masters Cup,F,3,P,true,55,RR,Roger Federer,Switzerland,SUI,1,2,2502,David Nalbandian,Argentina,ARG,12,-2,2107,6-3 2-6 6-4,,,
2005-09-26,Bangkok,B,3,H,true,59,F,Roger Federer,Switzerland,SUI,1,1,2502,Andy Murray,United Kingdom,GBR,109,,1868,6-3 7-5,1,WC,
2005-09-26,Bangkok,B,3,H,true,59,SF,Roger Federer,Switzerland,SUI,1,1,2501,Jarkko Nieminen,Finland,FIN,42,-1,2009,6-3 6-4,1,,6
2005-09-26,Bangkok,B,3,H,true,59,QF,Roger Federer,Switzerland,SUI,1,1,2500,Gilles Muller,Luxembourg,LUX,66,-1,1928,6-4 6-3,1,,
2005-09-26,Bangkok,B,3,H,true,59,R16,Roger Federer,Switzerland,SUI,1,,2500,Denis Gremelmayr,Germany,GER,239,,1629,6-3 6-2,1,Q,
2005-09-26,Bangkok,B,3,H,true,59,R32,Roger Federer,Switzerland,SUI,1,,2500,Marcos Daniel,Brazil,BRA,133,-1,1650,7-6(4) 6-4,1,,
2005-09-23,Davis Cup WG,D,5,C,false,,RR,Roger Federer,Switzerland,SUI,1,,2500,Alan Mackin,United Kingdom,GBR,262,-1,1507,6-0 6-0 6-2,,,
2005-08-29,US Open,G,5,H,false,63,F,Roger Federer,Switzerland,SUI,1,6,2494,Andre Agassi,United States,USA,7,-5,2235,6-3 2-6 7-6(1) 6-1,1,,7
2005-08-29,US Open,G,5,H,false,63,SF,Roger Federer,Switzerland,SUI,1,6,2488,Lleyton Hewitt,Australia,AUS,4,-6,2271,6-3 7-6(0) 4-6 6-3,1,,3
2005-08-29,US Open,G,5,H,false,63,QF,Roger Federer,Switzerland,SUI,1,3,2485,David Nalbandian,Argentina,ARG,11,-3,2121,6-2 6-4 6-1,1,,11
2005-08-29,US Open,G,5,H,false,63,R16,Roger Federer,Switzerland,SUI,1,2,2483,Nicolas Kiefer,Germany,GER,38,-2,2055,6-4 6-7(3) 6-3 6-4,1,,
2005-08-29,US Open,G,5,H,false,63,R32,Roger Federer,Switzerland,SUI,1,1,2482,Olivier Rochus,Belgium,BEL,29,-1,1968,6-3 7-6(6) 6-2,1,,27
2005-08-29,US Open,G,5,H,false,63,R64,Roger Federer,Switzerland,SUI,1,2,2480,Fabrice Santoro,France,FRA,76,-2,1962,7-5 7-5 7-6(2),1,,
2005-08-29,US Open,G,5,H,false,63,R128,Roger Federer,Switzerland,SUI,1,,2480,Ivo Minar,Czech Republic,CZE,77,-1,1866,6-1 6-1 6-1,1,,
2005-08-15,Cincinnati Masters,M,3,H,false,76,F,Roger Federer,Switzerland,SUI,1,5,2475,Andy Roddick,United States,USA,5,-6,2245,6-3 7-5,1,,5
2005-08-15,Cincinnati Masters,M,3,H,false,76,SF,Roger Federer,Switzerland,SUI,1,2,2473,Robby Ginepri,United States,USA,58,-1,1991,4-6 7-5 6-4,1,WC,
2005-08-15,Cincinnati Masters,M,3,H,false,76,QF,Roger Federer,Switzerland,SUI,1,,2473,Jose Acasuso,Argentina,ARG,52,-1,1909,6-4 6-3,1,,
2005-08-15,Cincinnati Masters,M,3,H,false,76,R16,Roger Federer,Switzerland,SUI,1,1,2472,Olivier Rochus,Belgium,BEL,34,-1,1965,6-3 6-4,1,,
2005-08-15,Cincinnati Masters,M,3,H,false,76,R32,Roger Federer,Switzerland,SUI,1,2,2470,Nicolas Kiefer,Germany,GER,38,-1,2034,4-6 6-4 6-4,1,,
2005-08-15,Cincinnati Masters,M,3,H,false,76,R64,Roger Federer,Switzerland,SUI,1,1,2469,James Blake,United States,USA,70,-1,1931,7-6(3) 7-5,1,WC,
2005-06-20,Wimbledon,G,5,G,false,75,F,Roger Federer,Switzerland,SUI,1,7,2463,Andy Roddick,United States,USA,4,-7,2238,6-2 7-6(2) 6-4,1,,2
2005-06-20,Wimbledon,G,5,G,false,75,SF,Roger Federer,Switzerland,SUI,1,8,2455,Lleyton Hewitt,Australia,AUS,2,-8,2279,6-3 6-4 7-6(4),1,,3
2005-06-20,Wimbledon,G,5,G,false,75,QF,Roger Federer,Switzerland,SUI,1,3,2452,Fernando Gonzalez,Chile,CHI,24,-3,2071,7-5 6-2 7-6(2),1,,21
2005-06-20,Wimbledon,G,5,G,false,75,R16,Roger Federer,Switzerland,SUI,1,2,2450,Juan Carlos Ferrero,Spain,ESP,31,-3,2077,6-3 6-4 7-6(6),1,,23
2005-06-20,Wimbledon,G,5,G,false,75,R32,Roger Federer,Switzerland,SUI,1,2,2448,Nicolas Kiefer,Germany,GER,26,-2,2033,6-2 6-7(5) 6-1 7-5,1,,25
2005-06-20,Wimbledon,G,5,G,false,75,R64,Roger Federer,Switzerland,SUI,1,1,2447,Ivo Minar,Czech Republic,CZE,99,-1,1859,6-4 6-4 6-1,1,,
2005-06-20,Wimbledon,G,5,G,false,75,R128,Roger Federer,Switzerland,SUI,1,1,2446,Paul Henri Mathieu,France,FRA,58,-1,1918,6-4 6-2 6-4,1,,
2005-06-06,Halle,B,3,G,false,72,F,Roger Federer,Switzerland,SUI,1,4,2442,Marat Safin,Russian Federation,RUS,5,-4,2161,6-4 6-7(6) 6-4,1,,2
2005-06-06,Halle,B,3,G,false,72,SF,Roger Federer,Switzerland,SUI,1,2,2440,Tommy Haas,Germany,GER,23,-2,2060,6-4 7-6(9),1,,7
2005-06-06,Halle,B,3,G,false,72,QF,Roger Federer,Switzerland,SUI,1,,2440,Philipp Kohlschreiber,Germany,GER,71,-1,1763,6-3 6-4,1,,
2005-06-06,Halle,B,3,G,false,72,R16,Roger Federer,Switzerland,SUI,1,,2440,Florian Mayer,Germany,GER,60,-1,1866,6-2 6-4,1,,
2005-06-06,Halle,B,3,G,false,72,R32,Roger Federer,Switzerland,SUI,1,1,2439,Robin Soderling,Sweden,SWE,35,-1,1950,6-7(5) 7-6(6) 6-4,1,,
