date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,winner_seed,winner_entry
1975-06-16,Nottingham,M,3,G,false,QF,Roscoe Tanner,United States,USA,13,17,2133,Jimmy Connors,1,United States,USA,1,-17,2398,7-5 6-3,,
1975-06-16,Nottingham,M,3,G,false,R16,Jimmy Connors,United States,USA,1,4,2394,Brian Gottfried,,United States,USA,24,-3,2115,8-9 6-3 6-2,1,
1975-06-16,Nottingham,M,3,G,false,R32,Jimmy Connors,United States,USA,1,,2394,Hans Kary,,Austria,AUT,100,-1,1838,6-1 6-4,1,
1975-06-16,Nottingham,M,3,G,false,R64,Jimmy Connors,United States,USA,1,1,2393,Robert Kreiss,,United States,USA,115,-1,1768,7-9 6-3 6-2,1,
1975-04-14,Denver WCT,B,3,P,true,F,Jimmy Connors,United States,USA,1,4,2390,Brian Gottfried,6,United States,USA,28,-4,2131,6-3 6-4,,Q
1975-04-14,Denver WCT,B,3,P,true,SF,Jimmy Connors,United States,USA,1,2,2388,Sandy Mayer,,United States,USA,33,-3,2050,6-4 6-1,,Q
1975-04-14,Denver WCT,B,3,P,true,QF,Jimmy Connors,United States,USA,1,2,2386,Thomaz Koch,,Brazil,BRA,35,-1,1999,7-6(4) 6-3,,Q
1975-04-14,Denver WCT,B,3,P,true,R16,Jimmy Connors,United States,USA,1,1,2385,Raymond Moore,,South Africa,RSA,69,-1,1912,5-7 6-1 6-1,,Q
1975-04-14,Denver WCT,B,3,P,true,R32,Jimmy Connors,United States,USA,1,2,2383,Jeff Borowiak,7,United States,USA,42,-2,2040,7-6(5) 6-1,,Q
1975-03-17,New York,B,3,H,true,SF,Jimmy Connors,United States,USA,1,3,2389,Jan Kodes,4,Czech Republic,CZE,24,-3,2085,7-5 3-6 6-1,1,
1975-03-17,New York,B,3,H,true,QF,Jimmy Connors,United States,USA,1,,2389,John Feaver,,United Kingdom,GBR,151,-1,1666,6-1 7-5,1,
1975-03-17,New York,B,3,H,true,R16,Jimmy Connors,United States,USA,1,,2389,Dick R Bohrnstedt,,United States,USA,188,-1,1770,6-2 6-3,1,
1975-03-11,Hampton,B,3,P,true,F,Jimmy Connors,United States,USA,1,3,2386,Jan Kodes,2,Czech Republic,CZE,24,-3,2073,3-6 6-3 6-0,1,
1975-03-11,Hampton,B,3,P,true,SF,Jimmy Connors,United States,USA,1,1,2385,Wojtek Fibak,,Poland,POL,68,-1,1865,1-6 6-3 6-3,1,
1975-03-11,Hampton,B,3,P,true,QF,Jimmy Connors,United States,USA,1,1,2384,Jeff Austin,,United States,USA,108,-1,1791,6-2 6-3,1,
1975-03-11,Hampton,B,3,P,true,R16,Jimmy Connors,United States,USA,1,,2384,Charles Owens,,United States,USA,36,-1,1847,6-4 6-0,1,
1975-03-11,Hampton,B,3,P,true,R32,Jimmy Connors,United States,USA,1,,2384,Bill Shivar,,United States,USA,,-1,1500,6-0 6-2,1,
1975-02-17,Boca Raton,B,3,H,false,F,Jimmy Connors,United States,USA,1,1,2390,Jurgen Fassbender,,Germany,GER,50,-1,1928,6-4 6-2,,
