date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,winner_rank,outcome
1972-09-18,Los Angeles WCT,M,3,H,false,R16,Roscoe Tanner,13,United States,USA,19,1972,Ilie Nastase,1,Romania,ROU,4,-17,2311,5-7 6-4 6-2,,
1972-09-18,Los Angeles WCT,M,3,H,false,R32,Ilie Nastase,1,Romania,ROU,2,2309,Tom Edlefsen,,United States,USA,,-2,1891,7-6 6-3,4,
1972-09-18,Los Angeles WCT,M,3,H,false,R64,Ilie Nastase,1,Romania,ROU,1,2308,John Cooper,,Australia,AUS,,-2,1916,6-2 7-5,4,
1972-09-17,Seattle,B,3,H,false,F,Ilie Nastase,,Romania,ROU,4,2304,Tom Gorman,,United States,USA,33,-4,2038,6-4 3-6 6-3,4,
1972-09-17,Seattle,B,3,H,false,SF,Ilie Nastase,,Romania,ROU,2,2302,Jaime Fillol,,Chile,CHI,28,-2,1922,7-6 6-7 6-4,4,
1972-09-17,Seattle,B,3,H,false,QF,Ilie Nastase,,Romania,ROU,,2302,Sherwood Stewart,,United States,USA,,-2,1690,6-1 6-1,4,
1972-09-17,Seattle,B,3,H,false,R16,Ilie Nastase,,Romania,ROU,1,2301,Paul Gerken,,United States,USA,,-1,1821,7-6 6-4,4,
1972-09-17,Seattle,B,3,H,false,R32,Ilie Nastase,,Romania,ROU,,2301,Glenn Gerstmar,,United States,USA,,-2,1500,6-4 6-4,4,
1972-09-01,South Orange,B,3,H,false,F,Ilie Nastase,,Romania,ROU,8,2250,Manuel Orantes,,Spain,ESP,5,-8,2160,6-4 6-4,4,
1972-09-01,South Orange,B,3,H,false,SF,Ilie Nastase,,Romania,ROU,2,2248,Ian Fletcher,,Australia,AUS,,-3,1892,6-3 6-7 7-5,4,
1972-09-01,South Orange,B,3,H,false,QF,Ilie Nastase,,Romania,ROU,2,2246,Roscoe Tanner,,United States,USA,,-2,1894,7-6 6-4,4,
1972-09-01,South Orange,B,3,H,false,R16,Ilie Nastase,,Romania,ROU,1,2245,Sandy Mayer,,United States,USA,,-2,1794,6-2 7-6,4,
1972-09-01,South Orange,B,3,H,false,R32,Ilie Nastase,,Romania,ROU,2,2243,Frantisek Pala,,Czech Republic,CZE,43,-2,1836,6-2 6-2,4,
1972-08-30,US Open,G,5,G,false,F,Ilie Nastase,4,Romania,ROU,15,2286,Arthur Ashe,6,United States,USA,7,-14,2251,3-6 6-3 6-7 6-4 6-3,4,
1972-08-30,US Open,G,5,G,false,SF,Ilie Nastase,4,Romania,ROU,5,2281,Tom Gorman,,United States,USA,33,-6,2021,4-6 7-6 6-2 6-1,4,
1972-08-30,US Open,G,5,G,false,QF,Ilie Nastase,4,Romania,ROU,5,2276,Fred Stolle,,Australia,AUS,50,-5,2019,6-4 3-6 6-3 6-2,4,
1972-08-30,US Open,G,5,G,false,R16,Ilie Nastase,4,Romania,ROU,7,2269,Bob Hewitt,16,South Africa,RSA,26,-7,2105,6-4 6-4 6-2,4,
1972-08-30,US Open,G,5,G,false,R32,Ilie Nastase,4,Romania,ROU,3,2266,Patrice Dominguez,,France,FRA,,-3,1883,6-3 5-7 6-2 6-3,4,
1972-08-30,US Open,G,5,G,false,R64,Ilie Nastase,4,Romania,ROU,7,2259,Roger Taylor,,United Kingdom,GBR,23,-7,2119,7-5 6-2 6-7 2-6 7-6,4,
1972-08-30,US Open,G,5,G,false,R128,Ilie Nastase,4,Romania,ROU,1,2258,Jairo Velasco,,Spain,ESP,,-3,1734,6-0 6-2 6-0,4,
1972-08-14,Montreal / Toronto,B,3,C,false,F,Ilie Nastase,,Romania,ROU,3,2240,Andrew Pattison,,United States,USA,46,-4,1979,6-4 6-3,4,
1972-08-14,Montreal / Toronto,B,3,C,false,SF,Ilie Nastase,,Romania,ROU,3,2237,Patrick Proisy,,France,FRA,20,-3,1949,6-4 7-6,4,
1972-08-14,Montreal / Toronto,B,3,C,false,QF,Ilie Nastase,,Romania,ROU,3,2234,Adriano Panatta,,Italy,ITA,30,-3,1964,4-0 RET,4,RET
1972-08-14,Montreal / Toronto,B,3,C,false,R16,Ilie Nastase,,Romania,ROU,1,2233,Anand Amritraj,,India,IND,,-2,1651,6-3 6-1,4,
1972-08-14,Montreal / Toronto,B,3,C,false,R32,Ilie Nastase,,Romania,ROU,1,2232,Geoff Masters,,Australia,AUS,,-2,1806,6-4 6-1,4,
1972-08-14,Montreal / Toronto,B,3,C,false,R64,Ilie Nastase,,Romania,ROU,2,2230,Frew Mcmillan,,South Africa,RSA,,-2,1860,6-4 2-6 7-6,4,
1972-08-04,Davis Cup WG,D,5,C,false,SF,Ilie Nastase,,Romania,ROU,4,2233,Mal Anderson,,Australia,AUS,22,-4,1982,6-2 6-2 4-6 6-3,4,
1972-08-04,Davis Cup WG,D,5,C,false,SF,Ilie Nastase,,Romania,ROU,3,2230,Colin Dibley,,Australia,AUS,35,-4,1965,6-3 6-0 6-2,4,
1972-07-25,Dusseldorf,B,5,C,false,F,Ilie Nastase,,Romania,ROU,3,2227,Jurgen Fassbender,,Germany,GER,,-4,1839,6-0 6-2 6-1,4,
1972-07-25,Dusseldorf,B,5,C,false,SF,Ilie Nastase,,Romania,ROU,2,2225,Szabolcz Baranyi,,Hungary,HUN,,-3,1839,6-1 9-8 6-1,4,
1972-07-25,Dusseldorf,B,5,C,false,QF,Ilie Nastase,,Romania,ROU,1,2224,Karl Meiler,,Germany,GER,,-3,1793,3-6 6-3 8-6 9-8,4,
1972-07-25,Dusseldorf,B,5,C,false,R16,Ilie Nastase,,Romania,ROU,2,2222,Boro Jovanovic,,Croatia,CRO,,-3,1844,6-1 6-2 5-7 6-4,4,
1972-07-21,Davis Cup EUR,D,5,,false,F,Ilie Nastase,,Romania,ROU,1,2221,Teimuraz Kakulia,,Uzbekistan,URS,,-3,1760,6-2 6-2 6-3,4,
1972-07-21,Davis Cup EUR,D,5,,false,F,Ilie Nastase,,Romania,ROU,9,2212,Alex Metreveli,,Russian Federation,RUS,15,-8,2116,6-4 6-0 6-4,4,
