date,tournament,level,bestOf,surface,indoor,speed,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,outcome,loser_entry
2011-05-22,Roland Garros,G,5,C,false,46,SF,Roger Federer,3,Switzerland,SUI,3,19,2385,Novak Djokovic,2,Serbia,SRB,2,-19,2492,7-6(5) 6-3 3-6 7-6(5),,
2011-05-22,Roland Garros,G,5,C,false,46,R16,Novak Djokovic,2,Serbia,SRB,2,2,2489,Richard Gasquet,13,France,FRA,16,-2,2110,6-4 6-4 6-2,,
2011-05-22,Roland Garros,G,5,C,false,46,R32,Novak Djokovic,2,Serbia,SRB,2,6,2483,Juan Martin Del Potro,25,Argentina,ARG,26,-6,2267,6-3 3-6 6-3 6-2,,
2011-05-22,Roland Garros,G,5,C,false,46,R64,Novak Djokovic,2,Serbia,SRB,2,1,2482,Victor Hanescu,,Romania,ROU,60,-1,1894,6-4 6-1 2-3 RET,RET,
2011-05-22,Roland Garros,G,5,C,false,46,R128,Novak Djokovic,2,Serbia,SRB,2,1,2481,Thiemo De Bakker,,Netherlands,NED,71,,1862,6-2 6-1 6-3,,
2011-05-08,Rome Masters,M,3,C,false,38,F,Novak Djokovic,2,Serbia,SRB,2,11,2470,Rafael Nadal,1,Spain,ESP,1,-11,2430,6-4 6-4,,
2011-05-08,Rome Masters,M,3,C,false,38,SF,Novak Djokovic,2,Serbia,SRB,2,4,2466,Andy Murray,4,United Kingdom,GBR,4,-5,2248,6-1 3-6 7-6(2),,
2011-05-08,Rome Masters,M,3,C,false,38,QF,Novak Djokovic,2,Serbia,SRB,2,5,2461,Robin Soderling,5,Sweden,SWE,5,-5,2241,6-3 6-0,,
2011-05-08,Rome Masters,M,3,C,false,38,R16,Novak Djokovic,2,Serbia,SRB,2,2,2459,Stan Wawrinka,14,Switzerland,SUI,14,-3,2119,6-4 6-1,,
2011-05-08,Rome Masters,M,3,C,false,38,R32,Novak Djokovic,2,Serbia,SRB,2,1,2458,Lukasz Kubot,,Poland,POL,141,-1,1822,6-0 6-3,,Q
