date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,outcome,winner_seed,loser_seed,loser_entry
1977-09-26,Aix en Provence,B,3,C,false,F,Ilie Nastase,Romania,ROU,11,15,2225,Guillermo Vilas,Argentina,ARG,2,-15,2412,6-1 7-5 RET,RET,,,
1977-09-26,Aix en Provence,B,5,C,false,SF,Guillermo Vilas,Argentina,ARG,2,1,2411,Eric Deblicker,France,FRA,152,-1,1825,6-4 6-7 6-7 6-3 6-1,,,,
1977-09-26,Aix en Provence,B,3,C,false,QF,Guillermo Vilas,Argentina,ARG,2,2,2409,Jose Higueras,Spain,ESP,31,-2,2037,7-6 7-5,,,,
1977-09-26,Aix en Provence,B,3,C,false,R16,Guillermo Vilas,Argentina,ARG,2,,2409,Peter Mcnamara,Australia,AUS,180,,1659,1-6 6-4 6-3,,,,
1977-09-26,Aix en Provence,B,3,C,false,R32,Guillermo Vilas,Argentina,ARG,2,,2409,Lars Elvstrom,Denmark,DEN,,,1696,6-1 6-0,,,,
1977-09-19,Paris,B,5,C,false,F,Guillermo Vilas,Argentina,ARG,4,1,2408,Christophe Roger Vasselin,France,FRA,228,-1,1811,6-2 6-1 7-6,,1,,
1977-09-19,Paris,B,5,C,false,SF,Guillermo Vilas,Argentina,ARG,4,1,2407,Patrick Proisy,France,FRA,54,-1,1944,3-6 6-2 5-7 6-1 6-2,,1,,
1977-09-19,Paris,B,3,C,false,QF,Guillermo Vilas,Argentina,ARG,4,1,2406,Hans Gildemeister,Chile,CHI,50,-1,1920,6-1 6-2,,1,,
1977-09-19,Paris,B,3,C,false,R16,Guillermo Vilas,Argentina,ARG,4,1,2405,Jairo Velasco,Spain,ESP,140,-1,1772,6-3 6-0,,1,,
1977-09-19,Paris,B,3,C,false,R32,Guillermo Vilas,Argentina,ARG,4,,2405,Deon Joubert,South Africa,RSA,154,-1,1685,6-0 6-2,,1,,
1977-09-14,Davis Cup EUR,D,5,C,false,SF,Guillermo Vilas,Argentina,ARG,4,3,2402,John Alexander,Australia,AUS,19,-3,2083,6-4 7-5 4-6 6-2,,,,
1977-09-14,Davis Cup EUR,D,5,C,false,SF,Guillermo Vilas,Argentina,ARG,4,2,2400,Phil Dent,Australia,AUS,18,-3,2062,6-2 4-6 7-5 6-3,,,,
