date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,winner_seed,loser_seed,loser_entry
1980-05-05,Nations Cup,T,3,C,false,SF,Guillermo Vilas,Argentina,ARG,4,16,2285,Bjorn Borg,Sweden,SWE,1,-15,2611,6-3 1-6 6-1,,,
1980-05-05,Nations Cup,T,3,C,false,RR,Bjorn Borg,Sweden,SWE,1,,2611,Jose Higueras,Spain,ESP,11,,2060,6-1 6-2,,,
1980-05-05,Nations Cup,T,3,C,false,RR,Bjorn Borg,Sweden,SWE,1,1,2610,John Alexander,Australia,AUS,40,,1965,7-6 6-2,,,
1980-05-05,Nations Cup,T,3,C,false,RR,Bjorn Borg,Sweden,SWE,1,1,2609,Gene Mayer,United States,USA,6,-1,2204,6-3 7-5,,,
1980-04-22,Las Vegas,M,3,H,false,F,Bjorn Borg,Sweden,SWE,1,2,2607,Harold Solomon,United States,USA,11,-2,2197,6-3 6-1,1,6,
1980-04-22,Las Vegas,M,3,H,false,SF,Bjorn Borg,Sweden,SWE,1,3,2604,Vitas Gerulaitis,United States,USA,5,-3,2288,6-4 3-6 6-2,1,3,
1980-04-22,Las Vegas,M,3,H,false,QF,Bjorn Borg,Sweden,SWE,1,2,2602,Victor Amaya,United States,USA,19,-1,2109,6-1 6-1,1,,
1980-04-22,Las Vegas,M,3,H,false,R16,Bjorn Borg,Sweden,SWE,1,1,2601,Wojtek Fibak,Poland,POL,20,-2,2129,6-1 6-1,1,,
1980-04-22,Las Vegas,M,3,H,false,R32,Bjorn Borg,Sweden,SWE,1,,2601,Hank Pfister,United States,USA,37,-1,1994,6-3 7-5,1,,Q
1980-03-31,Monte Carlo,M,5,C,false,F,Bjorn Borg,Sweden,SWE,1,4,2597,Guillermo Vilas,Argentina,ARG,4,-3,2277,6-1 6-0 6-2,1,5,
