winner_name,cluster,easy_draw,hard_draw,easy_draw_ratio,hard_draw_ratio
0,95,31,48,0.3263157894736842,0.5052631578947369
6,42,11,21,0.2619047619047619,0.5
5,64,25,31,0.390625,0.484375
9,77,23,36,0.2987012987012987,0.4675324675324675
3,16,4,7,0.25,0.4375
4,44,19,18,0.4318181818181818,0.4090909090909091
7,44,13,18,0.29545454545454547,0.4090909090909091
8,32,8,12,0.25,0.375
12,35,19,12,0.5428571428571428,0.34285714285714286
2,46,19,15,0.41304347826086957,0.32608695652173914
1,1,1,0,1.0,0.0
10,1,1,0,1.0,0.0
11,1,1,0,1.0,0.0
13,1,1,0,1.0,0.0
